,id,precio,fecha,ranking_capitalizacion,capitalizacion,volumen
9,usd-coin,1.1115735850678234,2018-10,6,26060841159,1940882.747789186
0,binancecoin,9.913921844579969,2018-11,4,35576681972,25623712.89313892
2,cardano,0.081552231977474,2018-11,8,9700102061,234096359.3295798
3,dogecoin,0.0038231430275724,2018-11,9,9559653503,71283187.16579922
4,ethereum,221.93708350999117,2018-11,2,216090063973,3830707746.8211937
5,litecoin,56.14869633769726,2018-11,14,5556848495,1080551085.00826
6,ripple,0.5466359271854616,2018-11,5,31120826419,2287102322.5201564
7,tether,1.002980909375481,2018-11,3,82923630542,171448789.13759628
8,tron,0.0269572195863388,2018-11,11,6667760498,234420796.803377
9,usd-coin,1.0479163970430276,2018-11,6,26060841159,12136366.569008922
0,binancecoin,6.482528505614958,2018-12,4,35590426340,59723341.28966864
2,cardano,0.0483773919167028,2018-12,8,9692072847,135245582.86631468
3,dogecoin,0.0027327711131163,2018-12,9,9558538744,74086984.16695826
4,ethereum,152.2462583430807,2018-12,2,216148112960,4206012610.248316
5,litecoin,36.06923982278019,2018-12,14,5556848495,806515889.4406528
6,ripple,0.4396267319372656,2018-12,5,31073468467,2053296300.1465344
7,tether,1.035482388153064,2018-12,3,82865212417,248007505.6553464
8,tron,0.0230194128931028,2018-12,11,6667760498,331268308.84403086
9,usd-coin,1.047674734006968,2018-12,6,26033546658,319829033.84766954
0,binancecoin,7.104204014208128,2019-01,4,35590426340,78795093.77014416
2,cardano,0.0536811301194313,2019-01,8,9692072847,126795624.77032696
3,dogecoin,0.0023755487413354,2019-01,9,9558538744,32509777.22806693
4,ethereum,158.59276789872374,2019-01,2,216148112960,4589972646.575842
5,litecoin,40.16358875118631,2019-01,14,5556848495,1064280702.4846132
6,ripple,0.3774732947560681,2019-01,5,31073468467,1005607014.7817672
7,tether,1.0260392090681545,2019-01,3,82865212417,5829383864.921998
8,tron,0.0324785779949868,2019-01,11,6667760498,1051105578.3222462
9,usd-coin,1.0287337404739956,2019-01,6,26033546658,1024335475.3236846
0,binancecoin,11.174117766149328,2019-02,4,35590426340,178877571.35289833
2,cardano,0.0497191873967682,2019-02,8,9692072847,82702530.52881028
3,dogecoin,0.0021189671038882,2019-02,9,9558538744,43664927.48419525
4,ethereum,164.40787314658516,2019-02,2,216148112960,7537629702.561232
5,litecoin,52.45503212869437,2019-02,14,5559299098,2379837074.105137
